zip,city,state,type
01088,West Hatfield,MA,STANDARD
01089,West Springfield,MA,STANDARD
01090,West Springfield,MA,PO BOX
01092,West Warren,MA,PO BOX
01093,Whately,MA,PO BOX
01094,Wheelwright,MA,PO BOX
01095,Wilbraham,MA,STANDARD
01096,Williamsburg,MA,STANDARD
01097,Woronoco,MA,PO BOX
01098,Worthington,MA,STANDARD
01101,Springfield,MA,PO BOX
01102,Springfield,MA,PO BOX
01103,Springfield,MA,STANDARD
01104,Springfield,MA,STANDARD
01105,Springfield,MA,STANDARD
01106,Longmeadow,MA,STANDARD
01107,Springfield,MA,STANDARD
01108,Springfield,MA,STANDARD
01109,Springfield,MA,STANDARD
01111,Springfield,MA,UNIQUE
01115,Springfield,MA,PO BOX
01116,Longmeadow,MA,PO BOX
01118,Springfield,MA,STANDARD
01119,Springfield,MA,STANDARD
01128,Springfield,MA,STANDARD
01129,Springfield,MA,STANDARD
01133,Springfield,MA,UNIQUE
01138,Springfield,MA,PO BOX
01139,Springfield,MA,PO BOX
01144,Springfield,MA,STANDARD
01151,Indian Orchard,MA,STANDARD
01152,Springfield,MA,STANDARD
01195,Springfield,MA,STANDARD
01199,Springfield,MA,UNIQUE
01201,Pittsfield,MA,STANDARD
01202,Pittsfield,MA,PO BOX
01203,Pittsfield,MA,PO BOX
01220,Adams,MA,STANDARD
01222,Ashley Falls,MA,STANDARD
01223,Becket,MA,STANDARD
01224,Berkshire,MA,STANDARD
01225,Cheshire,MA,STANDARD
01226,Dalton,MA,STANDARD
01227,Dalton,MA,PO BOX
01229,Glendale,MA,PO BOX
01230,Great Barrington,MA,STANDARD
01235,Hinsdale,MA,STANDARD
01236,Housatonic,MA,STANDARD
01237,Lanesborough,MA,STANDARD
01238,Lee,MA,STANDARD
01240,Lenox,MA,STANDARD
01242,Lenox Dale,MA,PO BOX
01243,Middlefield,MA,PO BOX
01244,Mill River,MA,PO BOX
01245,Monterey,MA,STANDARD
01247,North Adams,MA,STANDARD
01252,North Egremont,MA,STANDARD
01253,Otis,MA,STANDARD
01254,Richmond,MA,STANDARD
01255,Sandisfield,MA,STANDARD
01256,Savoy,MA,STANDARD
01257,Sheffield,MA,STANDARD
01258,South Egremont,MA,PO BOX
01259,Southfield,MA,STANDARD
01260,South Lee,MA,PO BOX
01262,Stockbridge,MA,PO BOX
01263,Stockbridge,MA,UNIQUE
01264,Tyringham,MA,PO BOX
01266,West Stockbridge,MA,STANDARD
01267,Williamstown,MA,STANDARD
01270,Windsor,MA,STANDARD
01301,Greenfield,MA,STANDARD
01302,Greenfield,MA,PO BOX
01330,Ashfield,MA,STANDARD
01331,Athol,MA,STANDARD
01337,Bernardston,MA,STANDARD
01338,Buckland,MA,STANDARD
01339,Charlemont,MA,STANDARD
01340,Colrain,MA,STANDARD
01341,Conway,MA,STANDARD
01342,Deerfield,MA,STANDARD
01343,Drury,MA,STANDARD
01344,Erving,MA,STANDARD
01346,Heath,MA,STANDARD
01347,Lake Pleasant,MA,PO BOX
01349,Millers Falls,MA,STANDARD
01350,Monroe Bridge,MA,PO BOX
01351,Montague,MA,STANDARD
01354,Gill,MA,STANDARD
01355,New Salem,MA,STANDARD
01360,Northfield,MA,STANDARD
01364,Orange,MA,STANDARD
01366,Petersham,MA,STANDARD
01367,Rowe,MA,STANDARD
01368,Royalston,MA,STANDARD
01370,Shelburne Falls,MA,STANDARD
01373,South Deerfield,MA,STANDARD
01375,Sunderland,MA,STANDARD
01376,Turners Falls,MA,STANDARD
01378,Warwick,MA,STANDARD
01379,Wendell,MA,STANDARD
01380,Wendell Depot,MA,STANDARD
01420,Fitchburg,MA,STANDARD
01430,Ashburnham,MA,STANDARD
01431,Ashby,MA,STANDARD
01432,Ayer,MA,STANDARD
01434,Devens,MA,STANDARD
01436,Baldwinville,MA,STANDARD
01438,East Templeton,MA,PO BOX
01440,Gardner,MA,STANDARD
01441,Westminster,MA,UNIQUE
01450,Groton,MA,STANDARD
01451,Harvard,MA,STANDARD
01452,Hubbardston,MA,STANDARD
01453,Leominster,MA,STANDARD
01460,Littleton,MA,STANDARD
01462,Lunenburg,MA,STANDARD
01463,Pepperell,MA,STANDARD
01464,Shirley,MA,STANDARD
01467,Still River,MA,PO BOX
01468,Templeton,MA,STANDARD
01469,Townsend,MA,STANDARD
01470,Groton,MA,UNIQUE
01471,Groton,MA,UNIQUE
01472,West Groton,MA,PO BOX
01473,Westminster,MA,STANDARD
01474,West Townsend,MA,STANDARD
01475,Winchendon,MA,STANDARD
01477,Winchendon Springs,MA,PO BOX
01501,Auburn,MA,STANDARD
01503,Berlin,MA,STANDARD
01504,Blackstone,MA,STANDARD
01505,Boylston,MA,STANDARD
01506,Brookfield,MA,STANDARD
01507,Charlton,MA,STANDARD
01508,Charlton City,MA,PO BOX
01509,Charlton Depot,MA,PO BOX
01510,Clinton,MA,STANDARD
01515,East Brookfield,MA,STANDARD
01516,Douglas,MA,STANDARD
01517,East Princeton,MA,PO BOX
01518,Fiskdale,MA,STANDARD
01519,Grafton,MA,STANDARD
01520,Holden,MA,STANDARD
01521,Holland,MA,STANDARD
01522,Jefferson,MA,STANDARD
01523,Lancaster,MA,STANDARD
01524,Leicester,MA,STANDARD
01525,Linwood,MA,PO BOX
01526,Manchaug,MA,PO BOX
01527,Millbury,MA,STANDARD
01529,Millville,MA,STANDARD
01531,New Braintree,MA,STANDARD
01532,Northborough,MA,STANDARD
01534,Northbridge,MA,STANDARD
01535,North Brookfield,MA,STANDARD
01536,North Grafton,MA,STANDARD
01537,North Oxford,MA,STANDARD
01538,North Uxbridge,MA,PO BOX
01540,Oxford,MA,STANDARD
01541,Princeton,MA,STANDARD
01542,Rochdale,MA,STANDARD
01543,Rutland,MA,STANDARD
01545,Shrewsbury,MA,STANDARD
