id,active,taggable,campaign_only,numeric,immutable,is_date,display_order,category_id,name,input_type,trait_id
204,true,true,false,false,false,false,4  ,15,"Separated","SingleSelect",   54
205,true,true,false,false,false,false,1  ,1 ,"American Indian or Alaska Native","MultiSelect",14
206,true,true,false,false,false,false,8  ,1 ,"Hispanic - Cuban","MultiSelect",14
207,true,true,false,false,false,false,9  ,1 ,"Hispanic - Mexican, Mexican-American, Chicano  ","MultiSelect",14
208,true,true,false,false,false,false,10 ,1 ,"Hispanic - Caribbean","MultiSelect",14
209,true,true,false,false,false,false,11 ,1 ,"Hispanic - Other Central/South American","MultiSelect",14
210,true,true,false,false,false,false,12 ,1 ,"Hispanic -Puerto Rican","MultiSelect",14
211,true,true,false,false,false,false,13 ,1 ,"Middle Eastern","MultiSelect",14
212,true,true,false,false,false,false,14 ,1 ,"Native Hawaiian","MultiSelect",14
213,true,true,false,false,false,false,15 ,1 ,"Other Pacific Islander","MultiSelect",14
214,true,true,false,false,false,false,16 ,1 ,"South Asian - Indian","MultiSelect",14
215,true,true,false,false,false,false,16 ,1 ,"South Asian -Other","MultiSelect",14
216,true,true,false,false,false,false,17 ,1 ,"White, Caucasian","MultiSelect",14
217,true,true,false,false,false,false,18 ,1 ,"Other - not listed  here","MultiSelect",14
218,true,true,false,false,false,false,9  ,5 ,"$200,000 - $249,999","SingleSelect",   6
219,true,true,false,false,false,false,10 ,5 ,"$250,000 - $499,999","SingleSelect",   6
220,true,true,false,false,false,false,12 ,5 ,"$500,000 +","SingleSelect",   6
221,true,true,false,false,false,false,13 ,5 ,"Prefer not to say","SingleSelect",   6
223,true,true,false,false,false,false,1  ,5 ,"$0 - $14,999","SingleSelect",   222
224,true,true,false,false,false,false,2  ,5 ,"$15,000 - $29,999","SingleSelect",   222
225,true,true,false,false,false,false,3  ,5 ,"$30,000 - $44,999","SingleSelect",   222
226,true,true,false,false,false,false,4  ,5 ,"$45,000 - $59,999","SingleSelect",   222
227,true,true,false,false,false,false,5  ,5 ,"$60,000 - $79,999","SingleSelect",   222
228,true,true,false,false,false,false,6  ,5 ,"$80,000 - $99,999","SingleSelect",   222
229,true,true,false,false,false,false,7  ,5 ,"$100,000 - $149,999","SingleSelect",   222
230,true,true,false,false,false,false,8  ,5 ,"$150,000 - $199,999","SingleSelect",   222
231,true,true,false,false,false,false,9  ,5 ,"$200,000 - $249,999","SingleSelect",   222
232,true,true,false,false,false,false,10 ,5 ,"$250,000 - $499,999","SingleSelect",   222
233,true,true,false,false,false,false,11 ,5 ,"$500,000+","SingleSelect",   222
234,true,true,false,false,false,false,12 ,5 ,"Rather not say","SingleSelect",   222
240,false,true,false,false,false,false,1  ,11,"Malls & Shopping Centers","MultiSelect",239
241,true,true,false,false,false,false,2  ,11,"Discount Stores","MultiSelect",239
242,true,true,false,false,false,false,3  ,11,"Boutiques","MultiSelect",239
243,true,true,false,false,false,false,4  ,11,"Vintage and Resale","MultiSelect",239
244,true,true,false,false,false,false,5  ,11,"all of the above","MultiSelect",239
245,true,true,false,false,false,false,6  ,11,"Prefer not to say","MultiSelect",239
247,true,true,false,false,false,false,5  ,4 ,"Part-time College Student","SingleSelect",   37
248,true,true,false,false,false,false,3  ,4 ,"High School Student","SingleSelect",   37
249,true,true,false,false,false,false,2  ,4 ,"Middle or JH Student","SingleSelect",   37
250,true,true,false,false,false,false,8  ,1 ,"Filipino   ","MultiSelect",14
251,true,true,false,false,false,false,19 ,1 ,"Prefer not to say  ","SingleSelect",   14
252,true,true,false,false,false,false,5  ,4 ,"Retired","SingleSelect",   40
254,true,true,false,false,false,false,1  ,8 ,"Aerobics","MultiSelect",253
255,true,true,false,false,false,false,1  ,8 ,"Baseball","MultiSelect",253
256,true,true,false,false,false,false,1  ,8 ,"Basketball","MultiSelect",253
257,true,true,false,false,false,false,1  ,8 ,"Camping","MultiSelect",253
258,true,true,false,false,false,false,1  ,8 ,"Cycling","MultiSelect",253
259,true,true,false,false,false,false,1  ,8 ,"Disc Golf","MultiSelect",253
260,true,true,false,false,false,false,1  ,8 ,"Fishing","MultiSelect",253
261,true,true,false,false,false,false,1  ,8 ,"Golf","MultiSelect",253
262,true,true,false,false,false,false,1  ,8 ,"Hiking","MultiSelect",253
263,true,true,false,false,false,false,1  ,8 ,"Hunting","MultiSelect",253
264,true,true,false,false,false,false,1  ,8 ,"Martial Arts","MultiSelect",253
265,true,true,false,false,false,false,1  ,8 ,"Mountain Biking","MultiSelect",253
266,true,true,false,false,false,false,1  ,8 ,"Pilates","MultiSelect",253
267,true,true,false,false,false,false,1  ,8 ,"Racquetball","MultiSelect",253
268,true,true,false,false,false,false,1  ,8 ,"Rock Climbing","MultiSelect",253
269,true,true,false,false,false,false,1  ,8 ,"Running/Jogging","MultiSelect",253
270,true,true,false,false,false,false,1  ,8 ,"Softball","MultiSelect",253
271,true,true,false,false,false,false,1  ,8 ,"Swimming","MultiSelect",253
272,true,true,false,false,false,false,1  ,8 ,"Tennis","MultiSelect",253
273,true,true,false,false,false,false,1  ,8 ,"Ultimate (Disc)","MultiSelect",253
274,true,true,false,false,false,false,1  ,8 ,"Volleyball","MultiSelect",253
275,true,true,false,false,false,false,1  ,8 ,"Walking","MultiSelect",253
276,true,true,false,false,false,false,1  ,8 ,"Weight Lifting","MultiSelect",253
277,true,true,false,false,false,false,1  ,8 ,"Yoga","MultiSelect",253
278,true,true,false,false,false,false,6  ,8 ,"Rodent","MultiSelect",161
279,true,true,false,false,false,false,7  ,8 ,"Snake","MultiSelect",161
280,true,true,false,false,false,false,8  ,8 ,"Turtle","MultiSelect",161
281,true,true,false,false,false,false,13 ,8 ,"Prefer not to say","MultiSelect",161
282,true,true,false,false,false,false,10 ,8 ,"Other - Reptile","MultiSelect",161
283,true,true,false,false,false,false,11 ,8 ,"Other - Not Listed","MultiSelect",161
285,true,true,false,false,false,false,1  ,2 ,"Boy: None","MultiSelect",284
286,true,true,false,false,false,false,2  ,2 ,"Boy: Expecting/Pregnant","MultiSelect",284
287,true,true,false,false,false,false,3  ,2 ,"Boy: 0-5 mos","MultiSelect",284
288,true,true,false,false,false,false,4  ,2 ,"Boy: 6-11 mos","MultiSelect",284
289,true,true,false,false,false,false,5  ,2 ,"Boy: 12-17 mos","MultiSelect",284
290,true,true,false,false,false,false,6  ,2 ,"Boy: 18-23 mos","MultiSelect",284
291,true,true,false,false,false,false,7  ,2 ,"Boy: 2-3 yrs","MultiSelect",284
292,true,true,false,false,false,false,8  ,2 ,"Boy: 4-6 yrs","MultiSelect",284
293,true,true,false,false,false,false,9  ,2 ,"Boy: 7-9 yrs","MultiSelect",284
294,true,true,false,false,false,false,10 ,2 ,"Boy: 10-12 yrs","MultiSelect",284
295,true,true,false,false,false,false,11 ,2 ,"Boy: 13-15 yrs","MultiSelect",284
296,true,true,false,false,false,false,12 ,2 ,"Boy: 16-17 yrs","MultiSelect",284
297,true,true,false,false,false,false,13 ,2 ,"Boy: 18-20 yrs","MultiSelect",284
298,true,true,false,false,false,false,14 ,2 ,"Boy: 21-24 yrs","MultiSelect",284
299,true,true,false,false,false,false,15 ,2 ,"Boy: 25+ yrs","MultiSelect",284
300,true,true,false,false,false,false,100,2 ,"Prefer not to say","MultiSelect",284
302,true,true,false,false,false,false,51 ,2 ,"Girl: None","MultiSelect",284
303,true,true,false,false,false,false,52 ,2 ,"Girl: Expecting/Pregnant","MultiSelect",284
304,true,true,false,false,false,false,53 ,2 ,"Girl: 0-5 mos","MultiSelect",284
305,true,true,false,false,false,false,54 ,2 ,"Girl: 6-11 mos","MultiSelect",284
306,true,true,false,false,false,false,55 ,2 ,"Girl: 12-17 mos","MultiSelect",284
307,true,true,false,false,false,false,56 ,2 ,"Girl: 18-23 mos","MultiSelect",284
308,true,true,false,false,false,false,57 ,2 ,"Girl: 2-3 yrs","MultiSelect",284
309,true,true,false,false,false,false,58 ,2 ,"Girl: 4-6 yrs","MultiSelect",284
310,true,true,false,false,false,false,59 ,2 ,"Girl: 7-9 yrs","MultiSelect",284
311,true,true,false,false,false,false,60 ,2 ,"Girl: 10-12 yrs","MultiSelect",284
312,true,true,false,false,false,false,61 ,2 ,"Girl: 13-15 yrs","MultiSelect",284
313,true,true,false,false,false,false,62 ,2 ,"Girl: 16-17 yrs","MultiSelect",284
314,true,true,false,false,false,false,63 ,2 ,"Girl: 18-20 yrs","MultiSelect",284
315,true,true,false,false,false,false,64 ,2 ,"Girl: 21-24 yrs","MultiSelect",284
316,true,true,false,false,false,false,65 ,2 ,"Girl: 25+ yrs","MultiSelect",284
319,true,true,false,false,false,false,1  ,2 ,"Homeschool","MultiSelect",318
320,true,true,false,false,false,false,2  ,2 ,"Day Care","MultiSelect",318
321,true,true,false,false,false,false,3  ,2 ,"Montessori Methods/Systems ","MultiSelect",318
322,true,true,false,false,false,false,4  ,2 ,"Private School (K-12)","MultiSelect",318
323,true,true,false,false,false,false,5  ,2 ,"Public School (K-12)","MultiSelect",318
324,true,true,false,false,false,false,6  ,2 ,"Community or Junior College","MultiSelect",318
325,true,true,false,false,false,false,7  ,2 ,"College or University (4-year)","MultiSelect",318
327,true,true,false,false,false,false,1  ,6 ,"AIDS","MultiSelect",326
328,true,true,false,false,false,false,2  ,6 ,"Alzheimer's disease","MultiSelect",326
329,true,true,false,false,false,false,3  ,6 ,"Arthritis  ","MultiSelect",326
330,true,true,false,false,false,false,4  ,6 ,"Asthma","MultiSelect",326
331,true,true,false,false,false,false,5  ,6 ,"Autism","MultiSelect",326
332,true,true,false,false,false,false,6  ,6 ,"Addiction","MultiSelect",326
333,true,true,false,false,false,false,7  ,6 ,"Bipolar disorder   ","MultiSelect",326
334,true,true,false,false,false,false,8  ,6 ,"Blindness","MultiSelect",326
335,true,true,false,false,false,false,9  ,6 ,"Cancer","MultiSelect",326
336,true,true,false,false,false,false,10 ,6 ,"Cerebral palsy","MultiSelect",326
337,true,true,false,false,false,false,11 ,6 ,"Chronic fatigue syndrome","MultiSelect",326
338,true,true,false,false,false,false,12 ,6 ,"Colitis","MultiSelect",326
339,true,true,false,false,false,false,13 ,6 ,"Crohn's disease","MultiSelect",326
340,true,true,false,false,false,false,14 ,6 ,"Cystic fibrosis","MultiSelect",326
341,true,true,false,false,false,false,15 ,6 ,"Deafness","MultiSelect",326
342,true,true,false,false,false,false,16 ,6 ,"Depression","MultiSelect",326
343,true,true,false,false,false,false,17 ,6 ,"Diabetes","MultiSelect",326
344,true,true,false,false,false,false,18 ,6 ,"Down syndrome","MultiSelect",326
345,true,true,false,false,false,false,19 ,6 ,"Eating disorder","MultiSelect",326
346,true,true,false,false,false,false,20 ,6 ,"Epilepsy","MultiSelect",326
347,true,true,false,false,false,false,21 ,6 ,"High cholesterol","MultiSelect",326
348,true,true,false,false,false,false,22 ,6 ,"Hypertension","MultiSelect",326
